=== sport-table10.xlsx ===
Cell A1 | value='Place' | fill=FFFFFF00 | rows=[0, 1] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell M2 | value='points' | fill=FFFFFF00 | rows=[1] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N2 | value='place' | fill=FFFFFF00 | rows=[1] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O2 | value='points' | fill=FFFFFF00 | rows=[1] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P2 | value='place' | fill=FFFFFF00 | rows=[1] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q2 | value='points' | fill=FFFFFF00 | rows=[1] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R2 | value='place' | fill=FFFFFF00 | rows=[1] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S2 | value='points' | fill=FFFFFF00 | rows=[1] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T2 | value='place' | fill=FFFFFF00 | rows=[1] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U2 | value='points' | fill=FFFFFF00 | rows=[1] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell A3 | value='1' | fill=9 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B3 | value='2542.71873556015' | fill=2 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='Dot Clark' | fill=9 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F3 | value='199' | fill=2 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='7' | fill=9 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='7' | fill=None | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='250.004213564492' | fill=None | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='1' | fill=6 | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K3 | value='948.699287403548' | fill=6 | rows=[2] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L3 | value='8' | fill=None | rows=[2] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M3 | value='206.881117047007' | fill=None | rows=[2] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N3 | value='1' | fill=6 | rows=[2] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O3 | value='776' | fill=6 | rows=[2] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P3 | value='15' | fill=None | rows=[2] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q3 | value='122.901081402891' | fill=None | rows=[2] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R3 | value='11' | fill=6 | rows=[2] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S3 | value='166.669475709661' | fill=6 | rows=[2] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T3 | value='26' | fill=None | rows=[2] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U3 | value='71.5635604325502' | fill=None | rows=[2] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A4 | value='2' | fill=9 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B4 | value='2397.06947643717' | fill=2 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='Steve Griggs' | fill=9 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F4 | value='180.5' | fill=2 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='7' | fill=9 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='1' | fill=None | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='1000.01685425797' | fill=None | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='3' | fill=6 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='474.349643701774' | fill=6 | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='16' | fill=None | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M4 | value='109.52529726018' | fill=None | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N4 | value='11' | fill=6 | rows=[3] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O4 | value='155.160837785255' | fill=6 | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P4 | value='9' | fill=None | rows=[3] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q4 | value='196.641730244625' | fill=None | rows=[3] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R4 | value='6' | fill=6 | rows=[3] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S4 | value='285.719101216562' | fill=6 | rows=[3] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T4 | value='10' | fill=None | rows=[3] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U4 | value='175.656011970805' | fill=None | rows=[3] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A5 | value='3' | fill=9 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B5 | value='2193.81281887055' | fill=2 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='Steph Mullard' | fill=9 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F5 | value='168' | fill=2 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='7' | fill=9 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='3' | fill=None | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='500.008427128983' | fill=None | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='4' | fill=6 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='379.479714961419' | fill=6 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='25' | fill=None | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='71.6126943624254' | fill=None | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='1' | fill=6 | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='776' | fill=6 | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P5 | value='16' | fill=None | rows=[4] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='115.67160602625' | fill=None | rows=[4] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R5 | value='8' | fill=6 | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S5 | value='222.225967612882' | fill=6 | rows=[4] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T5 | value='14' | fill=None | rows=[4] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U5 | value='128.81440877859' | fill=None | rows=[4] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A6 | value='4' | fill=9 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B6 | value='1775.38936973292' | fill=2 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='Andy Marsden' | fill=9 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F6 | value='112' | fill=2 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='6' | fill=9 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='8' | fill=None | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='222.225967612882' | fill=None | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='-' | fill=6 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='-' | fill=6 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='26' | fill=None | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='68.9603723490022' | fill=None | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='6' | fill=6 | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='265.990007631866' | fill=6 | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P6 | value='17' | fill=None | rows=[5] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q6 | value='109.245405691459' | fill=None | rows=[5] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R6 | value='13' | fill=6 | rows=[5] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S6 | value='142.859550608281' | fill=6 | rows=[5] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T6 | value='1' | fill=None | rows=[5] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U6 | value='966.108065839428' | fill=None | rows=[5] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A7 | value='5' | fill=9 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='1705.34536547878' | fill=2 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='Roger Stroud' | fill=9 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F7 | value='81' | fill=2 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='7' | fill=9 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='21' | fill=None | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='90.9106231143606' | fill=None | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='2' | fill=6 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='632.466191602365' | fill=6 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='5' | fill=None | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='310.32167557051' | fill=None | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='14' | fill=6 | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='124.128670228204' | fill=6 | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='29' | fill=None | rows=[6] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='65.5472434148751' | fill=None | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R7 | value='5' | fill=6 | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S7 | value='333.338951419322' | fill=6 | rows=[6] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T7 | value='12' | fill=None | rows=[6] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U7 | value='148.632010129143' | fill=None | rows=[6] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A8 | value='6' | fill=9 | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B8 | value='1647.52053551275' | fill=2 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='Brian Thomas' | fill=9 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F8 | value='129' | fill=2 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='7' | fill=9 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='2' | fill=None | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='666.677902838645' | fill=None | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='25' | fill=6 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='72.9768682618114' | fill=6 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='12' | fill=None | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='143.225388724851' | fill=None | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='3' | fill=6 | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='465.482513355765' | fill=6 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='22' | fill=None | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='85.4964044541849' | fill=None | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='19' | fill=6 | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S8 | value='100.001685425797' | fill=6 | rows=[7] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T8 | value='16' | fill=None | rows=[7] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U8 | value='113.659772451697' | fill=None | rows=[7] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A9 | value='7' | fill=9 | rows=[8] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B9 | value='1578.46133585929' | fill=2 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='Del Hopkins' | fill=9 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F9 | value='39' | fill=2 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='7' | fill=9 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='17' | fill=None | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='111.112983806441' | fill=None | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='13' | fill=6 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='135.528469629078' | fill=6 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='3' | fill=None | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='465.482513355765' | fill=None | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='12' | fill=6 | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='143.225388724851' | fill=6 | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P9 | value='5' | fill=None | rows=[8] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q9 | value='327.736217074376' | fill=None | rows=[8] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R9 | value='12' | fill=6 | rows=[8] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S9 | value='153.848746808918' | fill=6 | rows=[8] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T9 | value='7' | fill=None | rows=[8] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U9 | value='241.527016459857' | fill=None | rows=[8] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A10 | value='8' | fill=9 | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B10 | value='1570.13238686856' | fill=2 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='Bill Hopkins' | fill=9 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F10 | value='104' | fill=2 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='7' | fill=9 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='19' | fill=None | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='100.001685425797' | fill=None | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='11' | fill=6 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='158.116547900591' | fill=6 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='2' | fill=None | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='620.64335114102' | fill=None | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N10 | value='4' | fill=6 | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='372.386010684612' | fill=6 | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P10 | value='20' | fill=None | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='93.6389191641073' | fill=None | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R10 | value='14' | fill=6 | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S10 | value='133.335580567729' | fill=6 | rows=[9] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T10 | value='20' | fill=None | rows=[9] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U10 | value='92.0102919847074' | fill=None | rows=[9] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A11 | value='9' | fill=9 | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B11 | value='1537.56802342796' | fill=2 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='Neil Allen' | fill=9 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F11 | value='104' | fill=2 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='6' | fill=9 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='24' | fill=None | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='80.0013483406373' | fill=None | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='10' | fill=6 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='172.490779527918' | fill=6 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='1' | fill=None | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='930.96502671153' | fill=None | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='25' | fill=6 | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='71.6126943624254' | fill=6 | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='28' | fill=None | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q11 | value='67.8074931878018' | fill=None | rows=[10] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R11 | value='-' | fill=6 | rows=[10] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S11 | value='-' | fill=6 | rows=[10] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T11 | value='8' | fill=None | rows=[10] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U11 | value='214.690681297651' | fill=None | rows=[10] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A12 | value='10' | fill=9 | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B12 | value='1519.52614134594' | fill=2 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='Mick Clark' | fill=9 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F12 | value='45' | fill=2 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='7' | fill=9 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='30' | fill=None | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='64.5172164037398' | fill=None | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='7' | fill=6 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='237.174821850887' | fill=6 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='18' | fill=None | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M12 | value='97.9963186012137' | fill=None | rows=[11] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N12 | value='18' | fill=6 | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O12 | value='97.9963186012137' | fill=6 | rows=[11] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P12 | value='7' | fill=None | rows=[11] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q12 | value='245.802162805782' | fill=None | rows=[11] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R12 | value='3' | fill=6 | rows=[11] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S12 | value='500.008427128983' | fill=6 | rows=[11] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T12 | value='6' | fill=None | rows=[11] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U12 | value='276.030875954122' | fill=None | rows=[11] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A13 | value='11' | fill=9 | rows=[12] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B13 | value='1427.854176811' | fill=2 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='Dan Calver' | fill=9 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F13 | value='101' | fill=2 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='5' | fill=9 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='13' | fill=None | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='142.859550608281' | fill=None | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='6' | fill=6 | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='271.056939258157' | fill=6 | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='-' | fill=None | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M13 | value='-' | fill=None | rows=[12] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N13 | value='-' | fill=6 | rows=[12] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O13 | value='-' | fill=6 | rows=[12] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P13 | value='1' | fill=None | rows=[12] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q13 | value='819' | fill=None | rows=[12] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R13 | value='16' | fill=6 | rows=[12] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S13 | value='117.649041677408' | fill=6 | rows=[12] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T13 | value='24' | fill=None | rows=[12] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U13 | value='77.2886452671542' | fill=None | rows=[12] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A14 | value='12' | fill=9 | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B14 | value='1420.44273714075' | fill=2 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='Jody Holgarth' | fill=9 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F14 | value='0' | fill=2 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='7' | fill=9 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='5' | fill=None | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='333.338951419322' | fill=None | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='27' | fill=6 | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='67.7642348145392' | fill=6 | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='11' | fill=None | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M14 | value='155.160837785255' | fill=None | rows=[13] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N14 | value='7' | fill=6 | rows=[13] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O14 | value='232.741256677883' | fill=6 | rows=[13] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P14 | value='8' | fill=None | rows=[13] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q14 | value='218.490811382917' | fill=None | rows=[13] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R14 | value='21' | fill=6 | rows=[13] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S14 | value='90.9106231143606' | fill=6 | rows=[13] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T14 | value='5' | fill=None | rows=[13] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U14 | value='322.036021946476' | fill=None | rows=[13] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A15 | value='13' | fill=9 | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B15 | value='1330.77376009649' | fill=2 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='Craig Mansfield' | fill=9 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F15 | value='49' | fill=2 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='7' | fill=9 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='4' | fill=None | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='400.006741703187' | fill=None | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='8' | fill=6 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='210.822063867455' | fill=6 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='23' | fill=None | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
