=== sport-table11.xlsx ===
Cell A1 | value='Place' | fill=FFFFFF00 | rows=[0, 1] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell H9 | value='204' | fill=6 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A10 | value='8' | fill=9 | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B10 | value='181' | fill=2 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='Jody Holgarth' | fill=9 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E10 | value='0' | fill=2 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='1' | fill=9 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='8' | fill=6 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='181' | fill=6 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A11 | value='9' | fill=9 | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B11 | value='163' | fill=2 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='Lewis Lockwood' | fill=9 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E11 | value='0' | fill=2 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='1' | fill=9 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='9' | fill=6 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='163' | fill=6 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A12 | value='10' | fill=9 | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B12 | value='148' | fill=2 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='Del Hopkins' | fill=9 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E12 | value='0' | fill=2 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='1' | fill=9 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='10' | fill=6 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='148' | fill=6 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A13 | value='11' | fill=9 | rows=[12] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B13 | value='136' | fill=2 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='Mick Salmon' | fill=9 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E13 | value='0' | fill=2 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='1' | fill=9 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='11' | fill=6 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='136' | fill=6 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A14 | value='12' | fill=9 | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B14 | value='126' | fill=2 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='Bill Hopkins' | fill=9 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E14 | value='0' | fill=2 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='1' | fill=9 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='12' | fill=6 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='126' | fill=6 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A15 | value='13' | fill=9 | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B15 | value='117' | fill=2 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='Steve Griggs' | fill=9 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E15 | value='0' | fill=2 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='1' | fill=9 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='13' | fill=6 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='117' | fill=6 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A16 | value='14' | fill=9 | rows=[15] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B16 | value='109' | fill=2 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='Craig Mansfield' | fill=9 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E16 | value='0' | fill=2 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='1' | fill=9 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='14' | fill=6 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='109' | fill=6 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A17 | value='15' | fill=9 | rows=[16] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B17 | value='102' | fill=2 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='Mick Clark' | fill=9 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E17 | value='0' | fill=2 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='1' | fill=9 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='15' | fill=6 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='102' | fill=6 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A18 | value='16' | fill=9 | rows=[17] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B18 | value='96' | fill=2 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='Neil Allen' | fill=9 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E18 | value='0' | fill=2 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='1' | fill=9 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='16' | fill=6 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='96' | fill=6 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A19 | value='17' | fill=9 | rows=[18] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B19 | value='91' | fill=2 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='Dan Calver' | fill=9 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E19 | value='0' | fill=2 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='1' | fill=9 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='17' | fill=6 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='91' | fill=6 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A20 | value='18' | fill=9 | rows=[19] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B20 | value='86' | fill=2 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='Richard Griggs' | fill=9 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E20 | value='0' | fill=2 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='1' | fill=9 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='18' | fill=6 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='86' | fill=6 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A21 | value='19' | fill=9 | rows=[20] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C21 | value='Adam Stavrou' | fill=9 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G21 | value='-' | fill=6 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='-' | fill=6 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A22 | value='20' | fill=9 | rows=[21] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C22 | value='Ben Hanmore' | fill=9 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G22 | value='-' | fill=6 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='-' | fill=6 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A23 | value='21' | fill=9 | rows=[22] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C23 | value='Brian' | fill=9 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G23 | value='-' | fill=6 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='-' | fill=6 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A24 | value='22' | fill=9 | rows=[23] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C24 | value='Chris Harker' | fill=9 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G24 | value='-' | fill=6 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='-' | fill=6 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A25 | value='23' | fill=9 | rows=[24] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C25 | value='Craig Mechan' | fill=9 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G25 | value='-' | fill=6 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='-' | fill=6 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A26 | value='24' | fill=9 | rows=[25] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C26 | value='Darren Mir' | fill=9 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G26 | value='-' | fill=6 | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='-' | fill=6 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A27 | value='25' | fill=9 | rows=[26] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C27 | value='Dave Holt' | fill=9 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G27 | value='-' | fill=6 | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H27 | value='-' | fill=6 | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A28 | value='26' | fill=9 | rows=[27] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C28 | value='David Brown' | fill=9 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G28 | value='-' | fill=6 | rows=[27] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H28 | value='-' | fill=6 | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A29 | value='27' | fill=9 | rows=[28] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C29 | value='Dot Clark' | fill=9 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G29 | value='-' | fill=6 | rows=[28] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H29 | value='-' | fill=6 | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A30 | value='28' | fill=9 | rows=[29] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C30 | value='James' | fill=9 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G30 | value='-' | fill=6 | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H30 | value='-' | fill=6 | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A31 | value='29' | fill=9 | rows=[30] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C31 | value='Jamie' | fill=9 | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G31 | value='-' | fill=6 | rows=[30] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H31 | value='-' | fill=6 | rows=[30] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A32 | value='30' | fill=9 | rows=[31] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C32 | value='Jason Gladwin' | fill=9 | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G32 | value='-' | fill=6 | rows=[31] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H32 | value='-' | fill=6 | rows=[31] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A33 | value='31' | fill=9 | rows=[32] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C33 | value='Jerry Lynch' | fill=9 | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G33 | value='-' | fill=6 | rows=[32] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H33 | value='-' | fill=6 | rows=[32] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A34 | value='32' | fill=9 | rows=[33] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C34 | value='John Collier' | fill=9 | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G34 | value='-' | fill=6 | rows=[33] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H34 | value='-' | fill=6 | rows=[33] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A35 | value='33' | fill=9 | rows=[34] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C35 | value='John Collier' | fill=9 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G35 | value='-' | fill=6 | rows=[34] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H35 | value='-' | fill=6 | rows=[34] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A36 | value='34' | fill=9 | rows=[35] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C36 | value='Karen Clark' | fill=9 | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G36 | value='-' | fill=6 | rows=[35] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H36 | value='-' | fill=6 | rows=[35] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A37 | value='35' | fill=9 | rows=[36] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C37 | value='Mick Clark' | fill=9 | rows=[36] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G37 | value='-' | fill=6 | rows=[36] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H37 | value='-' | fill=6 | rows=[36] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A38 | value='21' | fill=9 | rows=[37] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C38 | value='Mike Hughes' | fill=9 | rows=[37] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G38 | value='-' | fill=6 | rows=[37] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H38 | value='-' | fill=6 | rows=[37] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A39 | value='22' | fill=9 | rows=[38] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C39 | value='Mike Hughes' | fill=9 | rows=[38] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G39 | value='-' | fill=6 | rows=[38] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H39 | value='-' | fill=6 | rows=[38] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A40 | value='23' | fill=9 | rows=[39] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C40 | value='Morgan Ashwell' | fill=9 | rows=[39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G40 | value='-' | fill=6 | rows=[39] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H40 | value='-' | fill=6 | rows=[39] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A41 | value='24' | fill=9 | rows=[40] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C41 | value='Neil Gladwin' | fill=9 | rows=[40] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G41 | value='-' | fill=6 | rows=[40] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H41 | value='-' | fill=6 | rows=[40] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A42 | value='25' | fill=9 | rows=[41] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C42 | value='Nick Paige' | fill=9 | rows=[41] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G42 | value='-' | fill=6 | rows=[41] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H42 | value='-' | fill=6 | rows=[41] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A43 | value='26' | fill=9 | rows=[42] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C43 | value='Paul Marshall' | fill=9 | rows=[42] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G43 | value='-' | fill=6 | rows=[42] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H43 | value='-' | fill=6 | rows=[42] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A44 | value='27' | fill=9 | rows=[43] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C44 | value='Rob Arnold' | fill=9 | rows=[43] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G44 | value='-' | fill=6 | rows=[43] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H44 | value='-' | fill=6 | rows=[43] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A45 | value='28' | fill=9 | rows=[44] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C45 | value='Rob Jones' | fill=9 | rows=[44] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G45 | value='-' | fill=6 | rows=[44] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H45 | value='-' | fill=6 | rows=[44] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A46 | value='29' | fill=9 | rows=[45] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C46 | value='Ross O'Niel' | fill=9 | rows=[45] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G46 | value='-' | fill=6 | rows=[45] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H46 | value='-' | fill=6 | rows=[45] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A47 | value='30' | fill=9 | rows=[46] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C47 | value='Steve Childs' | fill=9 | rows=[46] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G47 | value='-' | fill=6 | rows=[46] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H47 | value='-' | fill=6 | rows=[46] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A48 | value='31' | fill=9 | rows=[47] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell G48 | value='-' | fill=6 | rows=[47] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H48 | value='-' | fill=6 | rows=[47] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A49 | value='32' | fill=9 | rows=[48] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell G49 | value='-' | fill=6 | rows=[48] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H49 | value='-' | fill=6 | rows=[48] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A50 | value='33' | fill=9 | rows=[49] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell G50 | value='-' | fill=6 | rows=[49] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H50 | value='-' | fill=6 | rows=[49] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A51 | value='34' | fill=9 | rows=[50] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell G51 | value='-' | fill=6 | rows=[50] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H51 | value='-' | fill=6 | rows=[50] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A52 | value='35' | fill=9 | rows=[51] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell G52 | value='-' | fill=6 | rows=[51] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H52 | value='-' | fill=6 | rows=[51] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A53 | value='Number of Entrants' | fill=FF00B050 | rows=[52] | cols=[0, 1, 2, 3, 4, 5] | col_header=False | row_header=True | metadata=False
Cell G53 | value='18' | fill=9 | rows=[52] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell A54 | value='1st Place Prize Money' | fill=FFC00000 | rows=[53] | cols=[0, 1, 2, 3, 4, 5] | col_header=False | row_header=False | metadata=False
Cell G54 | value='100' | fill=None | rows=[53] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell A55 | value='2nd Place Prize Money' | fill=FF92D050 | rows=[54] | cols=[0, 1, 2, 3, 4, 5] | col_header=False | row_header=False | metadata=False
Cell G55 | value='50' | fill=None | rows=[54] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell A56 | value='3rd Place Prize Money' | fill=FF6197CA | rows=[55] | cols=[0, 1, 2, 3, 4, 5] | col_header=False | row_header=False | metadata=False
Cell G56 | value='30' | fill=None | rows=[55] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell A57 | value='4th Place Prize Money' | fill=8 | rows=[56] | cols=[0, 1, 2, 3, 4, 5] | col_header=False | row_header=False | metadata=False
Cell G57 | value='-' | fill=None | rows=[56] | cols=[6, 7] | col_header=False | row_header=False | metadata=False

