=== economy-table69.xlsx ===
Cell A1 | value='ACCOUNT #' | fill=FF00B0F0 | rows=[0, 1, 2] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell H6 | value='Decline' | fill=None | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A7 | value='2078869' | fill=FF00B0F0 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B7 | value='Francois Chevalier' | fill=FF00B050 | rows=[6] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C7 | value='1002221.7' | fill=9 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='Incline' | fill=None | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='891977.313' | fill=None | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='Incline' | fill=None | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='860720.32386' | fill=None | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='Incline' | fill=None | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A8 | value='186563' | fill=FF00B0F0 | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B8 | value='Mia Martina' | fill=FF00B050 | rows=[7] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C8 | value='876665' | fill=9 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='Decline' | fill=None | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='876665' | fill=None | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='Incline' | fill=None | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='874137.76674' | fill=None | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='Decline' | fill=None | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A9 | value='3374310' | fill=FF00B0F0 | rows=[8] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B9 | value='Tia Carrera' | fill=FF00B050 | rows=[8] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C9 | value='852750.9' | fill=9 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='Decline' | fill=None | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='878333.427' | fill=None | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='Decline' | fill=None | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='841598.4' | fill=None | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='Incline' | fill=None | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A10 | value='3576420' | fill=FF00B0F0 | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B10 | value='Feliciano Di Venturi' | fill=FF00B050 | rows=[9] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C10 | value='836054.42' | fill=9 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='Decline' | fill=None | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='953102.0388' | fill=None | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='Incline' | fill=None | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='895900.09554' | fill=None | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='Decline' | fill=None | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A11 | value='180431' | fill=FF00B0F0 | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B11 | value='Global Bob' | fill=FF00B050 | rows=[10] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C11 | value='841162.76' | fill=9 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='Incline' | fill=None | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='731811.6012' | fill=None | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='Incline' | fill=None | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='1038881.222292' | fill=None | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='Incline' | fill=None | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A12 | value='446076' | fill=FF00B0F0 | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B12 | value='Vincenzo Fertino' | fill=FF00B050 | rows=[11] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C12 | value='811131.4' | fill=9 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='Incline' | fill=None | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='697573.004' | fill=None | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='Decline' | fill=None | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='687902.905128' | fill=None | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='Incline' | fill=None | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A13 | value='60609' | fill=FF00B0F0 | rows=[12] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B13 | value='Bob Bobitt' | fill=FF00B050 | rows=[12] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C13 | value='814087.15' | fill=9 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='Incline' | fill=None | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='919918.4795' | fill=None | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='Decline' | fill=None | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='746403.11428' | fill=None | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='Incline' | fill=None | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A14 | value='353666' | fill=FF00B0F0 | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B14 | value='Ken Cascaval' | fill=FF00B050 | rows=[13] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C14 | value='792537.71' | fill=9 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='Incline' | fill=None | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='721209.3161' | fill=None | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='Decline' | fill=None | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='993511.95786' | fill=None | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='Incline' | fill=None | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A15 | value='2503159' | fill=FF00B0F0 | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B15 | value='Billy Joe' | fill=FF00B050 | rows=[14] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C15 | value='766654.9' | fill=9 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='Decline' | fill=None | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='835653.841' | fill=None | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='Decline' | fill=None | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='735633.502422' | fill=None | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='Decline' | fill=None | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A16 | value='87772' | fill=FF00B0F0 | rows=[15] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B16 | value='Giuseppe Von Firenze' | fill=FF00B050 | rows=[15] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C16 | value='744359.6' | fill=9 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='Decline' | fill=None | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='722028.812' | fill=None | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='Decline' | fill=None | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='852366.91782' | fill=None | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='Incline' | fill=None | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False

=== economy-table69.xlsx ===
Cell A1 | value='ACCOUNT #' | fill=FF00B0F0 | rows=[0, 1, 2] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell B1 | value='FULL NAME' | fill=FFFFFF00 | rows=[0, 1, 2] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C1 | value='Revenue' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell C2 | value='APR' | fill=FFFFFF00 | rows=[1, 2] | cols=[2, 3] | col_header=True | row_header=False | metadata=False
Cell E2 | value='MAY' | fill=FFFFFF00 | rows=[1, 2] | cols=[4, 5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='JUN' | fill=FFFFFF00 | rows=[1, 2] | cols=[6, 7] | col_header=True | row_header=False | metadata=False
Cell A4 | value='942546' | fill=FF00B0F0 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B4 | value='Big Joe' | fill=FF00B050 | rows=[3] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C4 | value='3085605' | fill=9 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='Incline' | fill=None | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='2622764.25' | fill=None | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='Decline' | fill=None | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='2922700.25' | fill=None | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='Incline' | fill=None | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A5 | value='748448' | fill=FF00B0F0 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B5 | value='Maria Calux' | fill=FF00B050 | rows=[4] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C5 | value='1212774.75' | fill=9 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='Incline' | fill=None | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='1140008.265' | fill=None | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='Decline' | fill=None | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='2963723.6025' | fill=None | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='Incline' | fill=None | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A6 | value='2087427' | fill=FF00B0F0 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B6 | value='Giorgio Armani' | fill=FF00B050 | rows=[5] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C6 | value='1017399.91' | fill=9 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='Incline' | fill=None | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='956355.9154' | fill=None | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='Incline' | fill=None | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='1311009.50475' | fill=None | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='Decline' | fill=None | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A7 | value='2078869' | fill=FF00B0F0 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B7 | value='Francois Chevalier' | fill=FF00B050 | rows=[6] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C7 | value='1002221.7' | fill=9 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='Incline' | fill=None | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='891977.313' | fill=None | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='Incline' | fill=None | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='860720.32386' | fill=None | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='Incline' | fill=None | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A8 | value='186563' | fill=FF00B0F0 | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B8 | value='Mia Martina' | fill=FF00B050 | rows=[7] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C8 | value='876665' | fill=9 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='Decline' | fill=None | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='876665' | fill=None | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='Incline' | fill=None | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='874137.76674' | fill=None | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='Decline' | fill=None | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A9 | value='3374310' | fill=FF00B0F0 | rows=[8] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B9 | value='Tia Carrera' | fill=FF00B050 | rows=[8] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C9 | value='852750.9' | fill=9 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='Decline' | fill=None | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='878333.427' | fill=None | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='Decline' | fill=None | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='841598.4' | fill=None | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='Incline' | fill=None | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A10 | value='3576420' | fill=FF00B0F0 | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B10 | value='Feliciano Di Venturi' | fill=FF00B050 | rows=[9] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C10 | value='836054.42' | fill=9 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='Decline' | fill=None | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='953102.0388' | fill=None | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='Incline' | fill=None | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='895900.09554' | fill=None | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='Decline' | fill=None | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A11 | value='180431' | fill=FF00B0F0 | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B11 | value='Global Bob' | fill=FF00B050 | rows=[10] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C11 | value='841162.76' | fill=9 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='Incline' | fill=None | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='731811.6012' | fill=None | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='Incline' | fill=None | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='1038881.222292' | fill=None | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='Incline' | fill=None | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A12 | value='446076' | fill=FF00B0F0 | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B12 | value='Vincenzo Fertino' | fill=FF00B050 | rows=[11] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C12 | value='811131.4' | fill=9 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='Incline' | fill=None | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='697573.004' | fill=None | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='Decline' | fill=None | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='687902.905128' | fill=None | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='Incline' | fill=None | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A13 | value='60609' | fill=FF00B0F0 | rows=[12] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B13 | value='Bob Bobitt' | fill=FF00B050 | rows=[12] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C13 | value='814087.15' | fill=9 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='Incline' | fill=None | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='919918.4795' | fill=None | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='Decline' | fill=None | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='746403.11428' | fill=None | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='Incline' | fill=None | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A14 | value='353666' | fill=FF00B0F0 | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B14 | value='Ken Cascaval' | fill=FF00B050 | rows=[13] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C14 | value='792537.71' | fill=9 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='Incline' | fill=None | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='721209.3161' | fill=None | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='Decline' | fill=None | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='993511.95786' | fill=None | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='Incline' | fill=None | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A15 | value='2503159' | fill=FF00B0F0 | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B15 | value='Billy Joe' | fill=FF00B050 | rows=[14] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C15 | value='766654.9' | fill=9 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='Decline' | fill=None | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='835653.841' | fill=None | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='Decline' | fill=None | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='735633.502422' | fill=None | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='Decline' | fill=None | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A16 | value='87772' | fill=FF00B0F0 | rows=[15] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B16 | value='Giuseppe Von Firenze' | fill=FF00B050 | rows=[15] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C16 | value='744359.6' | fill=9 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='Decline' | fill=None | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='722028.812' | fill=None | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='Decline' | fill=None | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='852366.91782' | fill=None | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='Incline' | fill=None | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False

